Chromosome	gene	mRNA	exon
NC_012835.1	13	13	37
NC_134457.1	1612	2570	25928
NC_134458.1	1608	3200	45992
NC_134459.1	1350	2353	23464
NC_134460.1	1162	1931	20629
NC_134461.1	1174	1991	22333
NC_134462.1	968	1785	20953
NC_134463.1	993	1695	17222
NC_134464.1	940	1538	15553
NC_134465.1	684	1134	16494
NC_134466.1	726	1356	17070
NC_134467.1	561	1036	9318
